mol_id,split0_test_score_JAK1,split1_test_score_JAK1,split2_test_score_JAK1,split3_test_score_JAK1,split4_test_score_JAK1,split5_test_score_JAK1,split6_test_score_JAK1,split7_test_score_JAK1,split8_test_score_JAK1,split9_test_score_JAK1,split0_test_score_GSK3,split1_test_score_GSK3,split2_test_score_GSK3,split3_test_score_GSK3,split4_test_score_GSK3,split5_test_score_GSK3,split6_test_score_GSK3,split7_test_score_GSK3,split8_test_score_GSK3,split9_test_score_GSK3
minimized_conformation,0.7617904026410055,0.761139256295922,0.8093162615319291,0.7478203082417549,0.5310588239001457,0.6711385746420446,0.7817123943517392,0.6943580843068271,0.7714575085068993,0.8258228969630028,0.2114314034925023,0.182042523203053,0.2497580847346371,0.3441068312288597,0.3515249305042215,0.2121236231914818,0.2822569023381664,0.185626665164705,0.2950293974434207,0.1931696311707809
1ns,0.6982885754902508,0.6016873828725757,0.7606618732600139,0.6845602926831853,0.5158105133549329,0.5471274479122306,0.6706806002795602,0.6619623037071316,0.7081650824540073,0.6742219416612867,0.1866221847789664,-0.0015633698057639,0.2155847120898399,0.1653986276355039,0.1865042091318537,0.182060342953259,0.0747843442492085,0.1184689067313303,0.1522488236560677,0.1491177492984415
2ns,0.6985435321598457,0.5869579765209589,0.5910688336600365,0.6788402857912991,0.6121503633917349,0.6248650551613969,0.7154353403106923,0.6176234583123292,0.6727079394269093,0.6996830772339441,0.2260078091402773,0.1500209046781747,0.1380822276157869,0.1091416248070051,0.0916144479612198,0.0815709039251,0.1220498037646394,0.1694407334917965,0.1502967318824886,0.0969857978630452
3ns,0.6793266573068507,0.5873288268209549,0.747689373394377,0.6533562242015697,0.4595654771023802,0.5837108323271144,0.627687923808621,0.5728505529587559,0.6835910141855128,0.7332019542880612,0.1997775832557691,0.1354174036808135,0.0243891336127081,0.0768625792977389,0.1028095843854872,0.1015869146828657,0.0820563527124287,0.1130397077291384,0.1288663697393386,0.1392159025030039
4ns,0.7466638356789481,0.6664846262654827,0.6912756718445319,0.7193301265862846,0.5725559105383529,0.5627556691646404,0.7164042396722093,0.6278259123168985,0.6845964122664354,0.756317730297134,0.1120872121638236,0.2016350463301073,0.069718416400198,0.1682263234838293,0.107318247718309,0.0964611275858243,0.1865181906463633,0.0766413957407337,0.1554310912545207,0.0362306501256903
5ns,0.7614901528027336,0.596791298150146,0.7371034338710558,0.6903603077811693,0.5347023394182913,0.6069754645360388,0.6548857687036501,0.6189316960439921,0.6678995192257128,0.7191546537290261,0.2181477487427734,0.165859352521479,0.1304911152032002,0.155532213353693,0.0866949426210045,0.0947912327233734,0.1337836169286116,0.1145332504653734,0.1360758597699705,0.0905873364922007
6ns,0.7237290126172424,0.6574375020548495,0.6933105130419077,0.6571889020540652,0.4208671644432108,0.6370302065241673,0.6382524299471048,0.6360580534700904,0.6873396280023277,0.7433213247733577,0.1103520780444329,0.2117139462531087,0.1916911382913164,0.0487819908469355,0.1420759829628424,0.0613720122694572,0.095158929410244,0.1636311983197322,0.1169152553038872,0.0695259618525919
7ns,0.7500000555254784,0.6227674877697406,0.6927161745143691,0.6686403029439312,0.5846578583543998,0.6283036067348732,0.6359339147417764,0.5736955201078104,0.657606436974453,0.7420995075062278,0.145902450389042,0.1663459536501482,0.1693278456503466,0.0706272673915784,0.0885137983283449,0.0889365168432532,0.077327355914933,0.1321162614794042,0.2025929457899882,0.103325763202413
8ns,0.7313723788879012,0.5728752416556027,0.7293722602332704,0.6459709515620696,0.5583207797520655,0.593209841695464,0.7083561497254103,0.5352446316013315,0.6372188417502085,0.6530668374589195,0.1528200692118232,0.1679222751910811,0.0819529740772991,0.1564585456241499,0.0835604831649058,0.0482560572989781,0.1480455201064056,0.0242517025515929,0.1577470141779375,0.0859803310101307
9ns,0.7084581541378416,0.635765967167863,0.7162761865586521,0.645639247150894,0.522461374705663,0.6437679578230516,0.6979127749201663,0.6623952720649267,0.6614393613809275,0.7770459457371506,0.1236360400263407,0.1862600688442548,0.0668651416711952,0.1296743262155045,0.0427322128538089,0.1772813562712339,0.1309422043475403,0.0241192888337105,0.2253830299082124,0.0652163224672068
10ns,0.7085973271772366,0.6291946563531983,0.7337962678221308,0.7122659619998287,0.467604293661608,0.5605900153709464,0.6780990990470657,0.5536600034270773,0.6859349636648022,0.7473576526506004,0.1521970678917875,0.1927072967647781,0.040123144752287,0.126791620851067,0.1146538273979653,0.1300165393685165,0.1580172879462358,0.09912325241366,0.1048043654714884,0.1123388389005201
conformations_10,0.7659963827664196,0.6590605197938351,0.7756544192231234,0.7058833414019838,0.5894085297858849,0.6455329423644934,0.7274423536488406,0.6662876842808009,0.7020650286828696,0.793355135655601,0.1183120551709219,0.0959679459619087,0.1666124255377874,0.2298141695079811,0.178832778086514,0.1812469522737791,0.2057338379628146,0.1530332532735495,0.1980412513878663,0.1533238598038436
conformations_20,0.7697184941434023,0.6615853728329708,0.7623308544234562,0.7040732424307201,0.5910025022826959,0.6605052734550207,0.738276413091155,0.6794313826163672,0.7009192883629357,0.7950289820857708,0.120202465363789,0.086658134144676,0.1742900720688472,0.2408763599327734,0.1805198588581954,0.178858730898233,0.2190799379227684,0.1518551561659246,0.1909666876033693,0.1522372025466249
minimized_conformations_10,0.7931157133093046,0.7730281341968768,0.815526947455789,0.7365877269718737,0.6311171210606427,0.6967113520668172,0.7538652890563512,0.7195091245710272,0.7364575891221533,0.8452702400295228,0.2068859407472037,0.1850072523825109,0.2292217938978389,0.3721540554449337,0.368970464546832,0.2549675078216215,0.327452623223888,0.228497164888132,0.3006158136097046,0.2416563200073666
